      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1783e-ukraine-1.psd:D das_gleykhn
      2 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1579e-shir-preface.psd:D daz
      6 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/#1579e-shir.psd#:D daz
      6 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1579e-shir.psd:D daz
      9 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1588e-letters-cracow.psd:D daz
      4 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1589e-ester-preface.psd:D daz
      4 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1589e-ester.psd:D daz
      7 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1590e-sam-hayyim.psd:D daz
      4 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1620e-lev-tov-1-preface.psd:D daz
      8 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1620e-lev-tov-1.psd:D daz
      5 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1648w-kine.psd:D daz
     15 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1666w-messiah.psd:D daz
      4 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1675e-ashkenaz-un-polak.psd:D daz
      9 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1705w-glikl.psd:D daz
      6 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1717e-poznan.psd:D daz
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1743e-teshuat-preface.psd:D daz
      4 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1750w-moses.psd:D daz
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1783e-ukraine-1.psd:D daz
     19 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1xxxx-court-testimony.psd:D daz
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/#1947e-royte-pomerantsen.psd#:D d-di
